see|vt. 观看（比赛、电视节目、演出、电影等）。表示一个事实或结果
sequel|n. [C] ~ (to sth)（电影的）续集
sequence|n. [C]（电影中表现同一主题或场面的）连续的一组镜头
series|n. [C]（广播或电视上题材或角色相同的）系列节目
set|n. 1 [C] 电影、戏剧等的舞台布景
set|vt. 常用被动式，指把电影中的情节设定在某个背景下（如时间、地点等）
shoot|vt. 尤用于美式英语，指玩（或打）某种游戏
short|n. [C] [非正式]（尤指在正片前放映的）电影短片
shot|n. [C] 电影中的镜头。是此义的常规用词
show|n. [C] 电视节目、广播节目。是此义的流行用词，口语中极为常用
show|vt.＆vi. 上映、演出。是一个流行用词，口语中较常用
shower|n. [C] 美式用法中可指为即将结婚或分娩的妇女举行的送礼聚会
showing|n. [C] 电影的放映
shuffle|vt.&vi.（纸牌游戏中）洗牌
side|n. [C] [过时，英，非正式] 电视频道
silent|adj. 只用于名词前，（过去的电影）有图像但无声音的
sketch|n. [C] 电视上或剧场里的幽默短剧、小品（通常作为喜剧节目的一部分）
skip|vt. [英也用skim]（用扁平的石块）打水漂
slide|n. [C]（儿童用于玩耍的）滑梯
slush|n. [U] [非正式，贬] 矫揉造作的言情电影；无聊庸俗的言情电影
smash|n. [C]（也可用smash hit）十分流行的歌曲、电影或戏剧
snap|n. [U] Snap可指纸牌游戏中的“对儿”牌游戏（游戏者轮流下牌，出现相同的牌时要抢先喊“对儿”）
soap|n. [C] [非正式] 肥皂剧，相当于soap opera
social|n. [C] [过时] 一个群体或俱乐部所组织的聚会
solo|adj. 独唱的，独奏的
spade|n. 1 [pl., U] 纸牌中的黑桃
special|n. [C] 人们通常不能获得，而只针对某一目的（或在某一场合）来提供的东西，如特别活动（或节目）等
spectator|n. [C]（尤指体育赛事的）观看者、观众
sport|vi. [文学] 开心活泼地玩耍，即嬉戏
spot|n. [C] [非正式] 聚光灯，其通常用词为spotlight
spot|n. [C]（电视、广播中或俱乐部、剧院演出中）某演员的固定节目，或某类节目的固定栏目
spree|n. [C]（常指过分）短时间玩乐
square|n. 1 [C]（城镇中通常为方形的，周围被建筑物所环绕的）广场
stage|n. [C]（剧场中的）舞台。是此义的常规用词，最为常用
stage|vt. 将戏剧等演出形式搬上舞台，上演
stall|n. [pl.] the stalls（也可用orchestra stalls）[均英] [美用the orchestra（单数）] 剧场或音乐厅的最接近舞台的一些座位
stand|n. [C] 乐队、演讲者等用于演出的升起的舞台，高台
star|n. 1 [C]（歌唱、表演、体育运动等的）知名且杰出者，即明星
star|vi. star (with/opposite sb) (in sth)（在电影、戏剧等节目中）担任主演或主角
stardom|n. [U] 明星的地位或身份
stick|vi.（纸牌游戏中）不再要牌
story|n. [C] 书籍、电影、戏剧等中的一系列事件，即情节，相当于storyline
straight|adj. 只作前置定语，（演员）严肃的，正统的（与喜剧、音乐剧无关）
strip|vi. 进行脱衣表演；表演脱衣舞
studio|n. 1 [C] 电影的摄影棚
stunt|n. [C]（尤指电影中的）特技表演
subtitle|n. [usually pl.]（电影或电视上外国电影的）字幕、对白译文
suit|n. [C] 一副扑克牌中任意的四种同花色的牌之一
sun|vt. sun yourself 坐着或躺着晒太阳
superstar|n. [C] 非常著名的表演者，如演员、歌手、体育选手等，即超级明星
swing|n. [C] 秋千
tag|n. [U]（英式英语也可用tig）儿童的捉人游戏（即一个孩子追赶并试图触碰到另一个孩子）
take|n. [C] 不停机一次连续拍摄的场景或镜头
television|n. [C, U] 电视
television|n. [U] [英式非正式为telly] 电视上播放的节目
theme|adj. [英] theme pub/bar/restaurant, etc.（反映某一主题或历史时期的）主题酒馆、主题酒吧、主题餐厅等；还包括主题音乐等
thrash|n. [C] [过时，非正式] 载歌载舞的聚会
thriller|n. [C] 一部讲述惊险的虚构故事的书籍、电影或戏剧（例如关于犯罪或间谍）
ticket|n. [C] ticket (for/to sth) 剧院等的入场券等。是此义的常规用词
tile|n. [C] 棋子
title|n. 某一款游戏
tour|n. [C]（一个乐团等）到不同的地方所做的一系列正式出访，即巡回演出
trailer|n. [C] [尤英]（美式英语通常用preview）（电影或电视节目的）预告片（可以起到提前宣传的作用）
transfer|vt.&vi. 改编
trial|n. [C] 常用复数，指动物表演
trick|n. [C] 在一局纸牌游戏中所打出（或赢得）的牌
trick|n. [C]（作为一种娱乐方式的）戏法
trump|n. 1 [C]（也可用trump card）（一些纸牌游戏中被选出来的最大的一张）王牌
trump|vt. ~ sth (with sth)（在一些纸牌游戏中）出王牌赢（牌）；出王牌压掉（他人的牌）
turn|n. [C] 短小的节目表演，或短小的娱乐活动（如一首歌等）
unaccompanied|adj.（音乐）无伴奏的、无伴唱的
vacation|n. 1 [C] 在英国可指大学的假期或法庭的休庭期；在美国可指学校的假期或法庭的休庭期
variety|n. [U] 美也用vaudeville，指一种综合性的剧院（或电视）娱乐节目（包括了各种各样的短小的表演，如歌唱、舞蹈、滑稽演出）
version|n. [C] 基于某个作品所改编而成的电影、戏剧或音乐等形式。通常是形式、风格或语言上的“改编版”（而内容基本保持不变），如小说的电影版。此时与edition的“图书出版的形式”之义有交集，如abridged version和abridged edition都可翻译为“删节本”，但abridged edition仅表示图书的“删节本”，而abridged version则除此之外还可指影视、音乐等作品的“删节版”。且涉及到不同语言之间的转换时，也要用version，如English version（英文版）。总之，在此义项下，edition一般仅用于表示图书的版本，且仅表示版本本身，而不如version那样强调各种事物不同版本之间的变化
view|vt. [正式] 观看电视、电影等
viewer|n. [C] 电视观众
vision|n. [U]（电视或影院屏幕的）影像，画面
wardrobe|n. [usually sing.]（剧院或电视公司的）服装部、戏装保管室
watch|vt.＆vi. 看（电视、表演、比赛等）。表示一种持续的动作
weekend|n. [C]（作为假期的）星期六和星期日，或略长一点的时间
western|n. [C]（描写19世纪美国西部，尤指有关牛仔生活的）电影
wing|n. [pl.] the wings 可指剧院中的(舞台被帘幕或布景遮挡的) 侧面
zoo|n. [C] 也可用正式的zoological garden(s)，指动物园
